status_id,display_name_ko,status_category,severity,source_type,effect_summary_ko,duration_type,recovery_condition_ko,next_mission_risk_ko,is_mvp
status_fatigue_sleep_debt,수면부족,fatigue,minor,preexisting,집중력과 장기 임무 안정성을 약하게 깎는 피로 상태.,temporary,휴식 또는 정산 후 회복 가능.,장기 잠입에서 판단 흔들림.,true
status_fatigue_sleep_debt_deep,수면부족 심화,fatigue,moderate,result,수면부족이 심해져 다음 임무의 침착 판정에 부담을 준다.,temporary,휴식 또는 비용 지불 회복 필요.,쿨 기반 임무에서 리스크 증가.,true
status_neural_electric_afterimage,감전 잔향,mental,minor,preexisting,감전 사고 이후 전기 설비 앞에서 잔상성 반응이 남아 있다.,persistent,정비 또는 치료 필요.,고전압 임무에서 변동 리스크.,true
status_neural_shortshock,전뇌 단락 충격,implant_damage,severe,result,전기 충격으로 전뇌와 보조 임플란트가 단락된 상태.,temporary,의료 정비 필요.,네트워크/전기 환경 임무에서 큰 리스크.,true
status_gear_shoulder_armor_crack,어깨 장갑판 균열,gear_damage,moderate,preexisting,노출형 상체 장갑판에 균열이 남아 있다.,persistent,수리비 지불 필요.,총격전에서 파손 악화 가능.,true
status_gear_shoulder_armor_crack_worse,어깨 장갑판 균열 악화,gear_damage,severe,result,기존 장갑판 균열이 임무 실패로 악화된 상태.,persistent,수리비 지불 필요.,전투 임무 생존력 저하.,true
status_injury_bullet_puncture,탄환 관통흔,injury,severe,result,실패한 교전에서 발생한 관통상.,temporary,치료 필요.,연속 출격 시 생존 리스크 증가.,true
status_gear_auth_bypass_overheat,우회기 과열 흔적,gear_damage,moderate,result,인증 우회기가 과열되어 다음 사용 안정성이 떨어진 상태.,persistent,장비 정비 필요.,검문 우회 실패 확률 증가.,true
status_gear_insulated_boots_worn_light,절연 안전화 경미 마모,gear_damage,minor,result,절연 부츠가 고전압 환경에서 경미하게 마모된 상태.,persistent,소액 수리 가능.,반복 고전압 작업 시 성능 저하.,true
status_mental_overaroused,흥분도 높음,mental,moderate,preexisting,교전 전 과각성 상태로 조용한 대기와 명령 준수가 어렵다.,temporary,휴식 또는 안정제 필요.,잠입/대기 임무에서 리스크 증가.,true
status_med_sleep_aid,약물성 수면 보조제 복용,mental,minor,preexisting,수면 보조제 의존으로 반응 지연이 생길 수 있다.,temporary,약물 조절 필요.,정밀한 사교/반응 판정에서 리스크.,true
